status	link	categoria	numero	ano	nome_lei	nome	data_lei	descricao	subcategoria	punicao	multa_texto	html	imagem_1	imagem_2	obs
					(TÍTULO)	(DEFINIÇÃO)			("ONDE SE APLICA")	("PUNIÇÃO")	("EM CASO DE NÃO CUMPRIMENTO")	("CONHEÇA A LEI...")			
rever html	http://alerjln1.alerj.rj.gov.br/contLei.nsf/c8aa0900025feef6032564ec0060dfff/3d7db514ae9f8b0783257ff5005b7b82?OpenDocument	LAZER / SERVIÇOS / TRANSPORTE / SAÚDE / COMPRAS	7329	2016	Acesso para cães-guia	Pessoas com deficiência visual podem permanecer em qualquer meio de transporte, estabelecimento público ou privado com seu cão-guia	2016-07-08	Institui, no âmbito do estado do rio de janeiro, a lei de diretrizes para a promoção da acessibilidade das pessoas com deficiência e mobilidade reduzida e dá outras providências.	Todos os meios de transporte e repartições públicas e privadas	Penas vão de multa à interdição do estabelecimento que negar a entrada	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp: (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3> <br /> <p> Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei: <br /> <br /> <strong>SEÇÃO III</strong><br /> Do Cão-guia<br /> <br /><strong> Art. 90 -</strong> É assegurado, à pessoa com deficiência visual acompanhada de cão-guia, o ingresso e permanência em qualquer local público ou privado, meio de transporte ou em qualquer estabelecimento comercial ou industrial, de serviços de promoção, proteção e cooperação de saúde.<br /> Parágrafo único - Entende-se por deficiência visual aquela caracterizada por cegueira ou baixa visão.<br /> <br /><strong>Art. 91 -</strong> Todo cão-guia portará identificação, e seu condutor, sempre que solicitado, deverá apresentar documento comprobatório de registro, expedido por escola de cães-guia devidamente vinculada à Federação Internacional de Cães-Guia, acompanhado de atestado de sanidade do animal, fornecido pelo órgão competente, ou documento equivalente. <br /> <strong>Parágrafo único - </strong> Os requisitos mínimos de identificação e a comprovação do treinamento do usuário do cão-guia deverão ser objeto de regulamentação.<br /> <br /><strong> Art. 92 - </strong>Considerar-se-á violação aos direitos humanos qualquer tentativa de impedimento ou dificuldade de acesso de pessoas com deficiência visual acompanhadas de cães-guia a locais públicos, quaisquer meios de transportes municipais, estaduais, intermunicipais e interestaduais ou estabelecimentos aos quais outras pessoas têm direito ou permissão de acesso. <br /><strong> Parágrafo único - </strong>Nos locais elencados no "caput" deste artigo, deverá ser assegurado o acesso, sem discriminação quanto ao uso de entrada, elevador principal ou de serviço.<br /> <br /><strong>Art. 93 - </strong>Os estabelecimentos, empresas ou órgãos que derem causa à discriminação prevista no disposto no artigo 92, serão punidos com pena de interdição até que cesse a discriminação, podendo cumular com pena de multa. <br /> <br /><strong>Art. 94 - </strong>É admitida a posse, guarda ou abrigo de cães-guia em zona urbana e em residências ou condomínios utilizados por pessoas com deficiência visual, sejam eles moradores ou visitantes.<br /> <br /><strong> Art. 95 - </strong>Aos instrutores e treinadores reconhecidos pela Federação Internacional de Cães-Guia e às famílias de acolhimento autorizadas pelas escolas de treinamento filiadas à Federação Internacional de Cães-Guia, serão garantidos os mesmos direitos do usuário previstos nos artigos 87 a 91 desta Lei.<br /> <strong>Parágrafo único - </strong>Entende-se por:<br /> a) treinador: pessoa que ensina comandos ao cão;<br /> b) instrutor: pessoa que treina a dupla cão-usuário;<br /> c) família de acolhimento: família que acolhe o cão na fase de socialização. <br /> <br /> <br /> Rio de Janeiro, em 08 de julho de 2016. <strong>FRANCISCO DORNELLES </strong> Governador em exercício </p> <div class="separator"></div> <p> <b>Projeto de Lei nº</b> 1707/2012<br /> Autoria: PAULO MELO, SAMUEL MALAFAIA, DIONISIO LINS<br /> Data de publicação: 11/07/2016<br /> Tipo de Revogação: Em Vigor<br /> OBS: Retificação do Art. 108 - DO I 14/07/2016. <br /> </p>			
corrigir html	http://alerjln1.alerj.rj.gov.br/CONTLEI.NSF/e9589b9aabd9cac8032564fe0065abb4/a158150c9bf7b73003256509006dc6df?OpenDocument	LAZER	2424	1995	Água filtrada em bares e restaurantes	Água filtrada de graça quando solicitado pelo cliente	1995-08-22	Obriga bares, restaurantes e estabelecimentos similares a servirem água filtrada aos clientes.	Restaurantes, bares e afins	Multa aplicada de acordo com o Código de Defesa do Consumidor. Valor mínimo de 200 UFIR-RJ. (Valor da UFIR-RJ: <a href="#" onclick="window.open('http://bit.ly/UFIR_RJ', '_blank');">http://bit.ly/UFIR_RJ</a>).	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp: (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3><p>Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei:<br/> <br/> <strong>Art. 1º -</strong> Será obrigatoriamente filtrada a água natural potável não mineral, a ser servida aos clientes nos bares, restaurantes e estabelecimentos similares do Estado do Rio de Janeiro.<br/><br/> <strong>Art. 2º -</strong> Ao Poder Executivo caberá definir o órgão fiscalizador do cumprimento desta Lei, bem como as penalidades a serem aplicadas aos infratores.<br/><br/><strong>Art. 3º -</strong> Esta Lei entrará em vigor 30 (trinta) dias após a sua publicação, revogadas as disposições em contrário.<br/><br/> <br/> Rio de Janeiro, 22 de outubro de 1995. <strong>Marcelo Alencar</strong> Governador </p><div class="separator"></div><p><b>Projeto de Lei nº</b> 46-A/95<br/> Mensagem nº ---<br/> Autoria: LUIZ RIBEIRO<br/> Data de publicação: 23-08-1995<br/> Data Publ. partes vetadas ---<br/> Assunto: Bar, Restaurante, Água, Defesa Do Consumidor, Saúde<br/> Tipo de Revogação: EM VIGOR<br/> Texto da Revogação: <br/> Multa estabelecida pela Lei 7047/2015, de autoria do deputado André Ceciliano. </p>			
rever html	http://alerjln1.alerj.rj.gov.br/CONTLEI.NSF/69d90307244602bb032567e800668618/8521cc34b3fb0a7003256735006d00e0?OpenDocument	LAZER	3194	1999	Água filtrada em hotéis, motéis, shoppings e supermercados	Água filtrada de graça quando solicitado pelo cliente	1999-03-15	Estabelece obrigatoriedade do uso de água filtrada em todos os recintos de hotéis, motéis, shoppings, supermercados e clubes esportivos do Rio de Janeiro.	Hotéis, motéis, shoppings e supermercados	A penalidade pelo descumprimento desta Lei acarretará no pagamento de multa diária no valor de 150 UFIR-RJ. (Valor da UFIR-RJ: <a href="#" onclick="window.open('http://bit.ly/UFIR_RJ', '_blank');">http://bit.ly/UFIR_RJ</a>).	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>O Presidente da Assembléia Legislativa do Estado do Rio de Janeiro,</h3><p> em conformidade com o que dispõe o § 5º combinado com o § 7º do artigo 115 da Constituição Estadual, promulga a Lei nº 3.194, de 15 de março de 1999, oriunda do <b>Projeto de Lei nº</b> 1.243-A, de 1997.<br/> <br/> A ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO<br/>D E C R E T A:<br/><br/> <strong>Art. 1º -</strong> É obrigatório o uso de água filtrada em todos o recintos de hotéis, motéis, shopping centers, supermercados e clubes esportivos do Estado do Rio de Janeiro.<br/>* Art. 1°-A Os estabelecimentos hoteleiros e similares, situados no Estado do Rio de Janeiro, ficam obrigados a disponibilizar água potável para consumo, gratuitamente a seus hóspedes, nas habitações e a seus funcionários.<br/>* Incluído pela Lei nº 5947/2011.<br/><br/><strong>Art. 2º -</strong> A fiscalização é atribuição do órgão estadual competente, e a penalidade pelo descumprimento desta Lei acarretará no pagamento de multa diária no valor de 150 (cento e cinqüenta) UFIRS.<br/><br/><strong>Art. 3º -</strong> Esta Lei entrará em vigor 120 (cento e vinte) dias após a data de sua publicação, revogadas as disposições em contrário.Assembléia Legislativa do Estado do Rio de Janeiro, em 15 de março de 1999.<br/><br/> Rio de Janeiro, 15 de março de 1999. <strong>Deputado Sérgio Cabral</strong> Presidente </p><div class="separator"></div><p><b>Projeto de Lei nº</b> 1243-A/97</b><br/> Mensagem nº ---<br/> Autoria: ANDRÉ LUIZ<br/> Data de publicação: 16-03-1999<br/> Data Publ. partes vetadas ---<br/> Assunto: Hotel, Motel, Centro Comercial, Água, Supermercado, Shopping Center, Clube, Água<br/> Tipo de Revogação: EM VIGOR<br/> Texto da Revogação --- <br/> </p>			
rever html	http://alerjln1.alerj.rj.gov.br/contlei.nsf/b24a2da5a077847c032564f4005d4bf2/1daebb726350a0f883257842005fe87e?OpenDocument	LAZER / SERVIÇOS	5901	2011	Álcool gel em bancos, bares, hotéis e restaurantes	Álcool gel sanitizante disponível para os clientes	2011-02-24	Instituições bancárias, hotéis, restaurantes, bares e similares devem disponibilizar álcool gel sanitizante para seus usuários.	Bancos, hotéis, restaurantes, bares e afins	Advertência e multa em caso de reincidência	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3><br/><p>Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei:<br/><br/> <span style="text-decoration:line-through;"><strong>Art. 1º -</strong> Ficam os hotéis, restaurantes, bares e similares localizados no Estado do Rio de Janeiro, obrigados a disponibilizarem gel sanitizante aos seus usuários.</span><br/><strong>* Art. 1º -</strong> Ficam as instituições bancárias, os hotéis, restaurantes, bares e similares localizados no Estado do Rio de Janeiro obrigados a disponibilizarem gel sanitizante aos seus usuários. (NR)<br/>* Nova redação dada pela Lei nº 6143/2012.<br/><br/><span style="text-decoration:line-through;"><strong>Art. 2º -</strong> Todos os hotéis, restaurantes, bares e similares deverão colocar o gel sanitizante em local visível e de fácil acesso para o consumidor.</span><br/><strong>* Art. 2º -</strong> Todas as instituições bancárias, os hotéis, restaurantes, bares e similares deverão colocar o gel sanitizante em local visível e de fácil acesso para o consumidor. (NR)<br/>* Nova redação dada pela Lei nº 6143/2012.<br/><br/><strong>Art. 3º -</strong> Os estabelecimentos citados no artigo 1º terão prazo de 90 (noventa) dias para se adequarem ao disposto nesta Lei.<br/><br/><strong>Art. 4º -</strong> O descumprimento das disposições contidas nesta Lei acarretará aos infratores as seguintes sanções:<br/><br/><strong>I -</strong> advertência escrita;<br/><strong>II -</strong> em caso de reincidência, multa no valor de 1000 (mil) UFIRs<br/><br/><strong>Art. 5º -</strong> O Poder Executivo baixará os Atos que se fizerem necessários a sua regulamentação e determinando as formas de fiscalização da presente Lei.<br/><br/><strong>Art. 6º -</strong> Esta Lei entrará em vigor na data de sua publicação, revogadas as disposições em contrário. <br/><br/> Rio de Janeiro, 24 de fevereiro de 2011. <strong>Sergio Cabral</strong> Governador </p><div class="separator"></div><p><b>Projeto de Lei nº</b> 1986/2009 <br/> Mensagem nº ---<br/> Autoria: MARCELO SIMÃO<br/> Data de publicação: 25-02-2011<br/> Data Publ. partes vetadas ---<br/> Assunto: ---<br/> Tipo de Revogação: EM VIGOR<br/> Texto da Revogação --- <br/> </p>			
rever html	http://alerjln1.alerj.rj.gov.br/CONTLEI.NSF/f25edae7e64db53b032564fe005262ef/87c3e682492d9f0983257cde006c4bce?OpenDocument	LAZER	6775	2014	Assento vizinho para acompanhante de deficientes físicos	Assento vizinho reservado para acompanhante de deficiente físico	2014-05-16	Cinemas, teatros, casas de show e afins devem reservar assento vizinho para acompanhante da pessoa com deficiência. Se houver preço promocional na entrada, deve ser estendido ao acompanhante.	Cinemas, teatros, lonas culturais e afins	Multa aplicada de acordo com o Código de Defesa do Consumidor, no valor mínimo de 200 UFIR-RJ. (Valor da UFIR-RJ: <a href="#" onclick="window.open('http://bit.ly/UFIR_RJ', '_blank');">http://bit.ly/UFIR_RJ</a>).	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3><br/><p>Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei:<br/><br/> <strong>Art. 1º -</strong> Torna-se obrigatória a reserva de assento ao acompanhante da Pessoa com Deficiência, em teatros, cinemas, casas de shows e espetáculos em geral, no Estado do Rio de Janeiro.<br/><br/><strong>Parágrafo único.</strong> O assento a que ser refere o caput deste artigo deve estar localizado ao lado do espaço reservado a pessoa com deficiência. <br/><br/><strong>Art. 2º -</strong> Havendo preço promocional de entrada para pessoa com deficiência, deverá o benefício ser estendido ao acompanhante.<br/><br/><strong>Art. 3º -</strong> Os estabelecimentos do segmento cultural terão o prazo de 180 (cento e oitenta) dias, a partir da regulamentação da presente Lei, para promoverem as adequações necessárias.<br/><br/><strong>Art. 4º -</strong> O não cumprimento ao estabelecido nessa Lei, acarretará ao infrator as penalidades do Código de Defesa do Consumidor - CDC.<br/><br/><strong>Art. 5° -</strong> Esta Lei entra em vigor na data de sua publicação. <br/><br/> Rio de Janeiro, 16 de maio de 2014. <strong>Luiz Fernando Souza</strong> Governador </p><div class="separator"></div><p><b>Projeto de Lei nº</b> 1787/2012 <br/> Mensagem nº ---<br/> Autoria: CLARISSA GAROTINHO<br/> Data de publicação: 19-05-2014<br/> Data Publ. partes vetadas ---<br/> Assunto: ---<br/> Tipo de Revogação: EM VIGOR<br/> Texto da Revogação --- <br/> </p>			
rever html	http://alerjln1.alerj.rj.gov.br/CONTLEI.NSF/b24a2da5a077847c032564f4005d4bf2/9b317eadac4b72848325751200597b25?OpenDocument	LAZER	5331	2008	Cadeiras de cinema	As salas de cinema são obrigadas a numerar as cadeiras, e informar, no ingresso, o assento que o consumidor ocupará	2008-11-24	Torna obrigatória a numeração das cadeiras nas salas de cinema.	Cinemas		<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h4>A Assembléia legislativa do Estado do Rio de Janeiro DECRETA:</h4><br/></br/><strong>Art. 1º</strong> - Ficam as salas de cinema dos municípios do Estado do Rio de Janeiro com população igual ou superior a 300.000 (trezentos mil) habitantes, obrigadas a numerar suas cadeiras, informando ao consumidor, no momento da compra do ingresso, o assento que irá ocupar.<br/><br/>* Nova redação dada pela Lei nº 6540/2013.<br/><br/><strong>Parágrafo único.</strong> O número do assento adquirido deverá, obrigatoriamente, estar registrado no cupom de ingresso.<br/><br/><strong>Art. 2º</strong> Os referidos estabelecimentos terão o prazo de 180 (cento e oitenta) dias, a contar da publicação desta Lei, para se adequarem às suas disposições.<br/><br/><strong>Art. 3º</strong> Esta Lei entrará em vigor na data de sua publicação, revogadas as disposições em contrário.			
rever html	http://alerjln1.alerj.rj.gov.br/contlei.nsf/c8aa0900025feef6032564ec0060dfff/462d8db7e4d3a499832580730059fbf8?OpenDocument&ExpandSection=-5	LAZER / SERVIÇOS / COMPRAS	7486	2016	Cardápios acessíveis 	Restaurantes, bares e lanchonetes devem ter cardápios acessíveis a pessoas com deficiência (em braile, caracteres ampliados ou ferramenta sonora)	2016-11-08	Altera a lei nº 3.879, de 25 de junho de 2002, "Que obriga os bares, restaurantes, lanchonetes, hotéis e motéis a colocarem, à disposição dos fregueses deficientes visuais, cardápios em braile" e dá outras providências.	Restaurantes, bares e lanchonetes	Multa aplicada de acordo com o Código de Defesa do Consumidor	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3><br /> <p>Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei: <br/><strong> Art. 1º - </strong> Altera a Ementa <strong> , </strong> que passa a ter a seguinte redação:</p> <p><em> “INSTITUI A DISPONIBILIZAÇÃO DE CARDÁPIOS ACESSÍVEIS ÀS PESSOAS COM DEFICIÊNCIA POR BARES, RESTAURANTES, LANCHONETES, HOTÉIS, MOTÉIS E QUAISQUER ESTABELECIMENTOS SIMILARES, NO ÂMBITO DO ESTADO DO RIO DE JANEIRO (NR)” </em></p> <p><strong> Art. 2º - </strong> O Art. 1º da Lei nº 3.879, de 25 de junho de 2002, passa a vigorar com a seguinte redação: <br/><br/><em> "Art. 1º Torna-se obrigatória a disponibilização de cardápios acessíveis às pessoas com deficiência por bares, restaurantes, lanchonetes, hotéis, motéis e quaisquer estabelecimentos similares, no âmbito do Estado do Rio de Janeiro. </em></p> <p><em> §1º As exigências dessa Lei não se aplica aos microempreendedores individuais – MEI e às microempresas – ME, assim definidos na legislação específica. (NR)" </em></p> <p><strong> Art. 3º - </strong> O Art. 2º da Lei nº 3.879, de 25 de junho de 2002, passa a vigorar com a seguinte redação:</p> <p><em> "Art. 2º Os cardápios acessíveis deverão discriminar os nomes dos pratos, a relação de bebidas e os preços, além de outras informações necessárias”. </em><em> §1º Para fins desta Lei, considera-se cardápio em formato acessível: </em><br/><br/><em> I – em Braille; </em><br/><br/><em> II – em caracteres ampliados; e </em><br/><br/><em> III – em qualquer ferramenta disponibilizada em áudio descrição através de aparelho sonoro. </em><br/><br/><em> §2º Os cardápios disponibilizados às pessoas com deficiência deverão ser atualizados sempre que houver quaisquer alterações de nomes de pratos ou preços. (NR)" </em></p> <p><strong> Art. 4º - </strong> O Art. 4º da Lei nº 3.879, de 25 de junho de 2002, passa a vigorar com a seguinte redação: <br/><br/><em> “Art. 4º - Será dado um prazo de 06 (seis) meses, a contar da data da publicação, para os estabelecimentos envolvidos se enquadrarem às disposições desta Lei; findo tal prazo, a inobservância das disposições contidas na presente Lei importará, no que couber, à aplicação das penalidades contidas no Art. 56 da Lei nº 8.078, de 11 de setembro de 1990. (NR)” </em><br/><br/><strong> Art. 5º </strong> - Esta Lei entra em vigor na data de sua publicação.</p> <div>Rio de Janeiro, em 08 de novembro de 2016.</div> <p><strong> LUIZ FERNANDO DE SOUZA </strong></p> <div><strong> Governador </strong></div> <p><strong> Projeto de Lei nº </strong> 908-A/2015 <br/> Autoria: TANIA RODRIGUES <br/> Data de publicação: 11/09/2016 <br/> Tipo de Revogação: Em Vigor <br/></p>			
rever html	http://alerjln1.alerj.rj.gov.br/contlei.nsf/01017f90ba503d61032564fe0066ea5b/eb260cd8abeda02c83257cef006a7e90?OpenDocument	LAZER	6788	2014	Cobrança de couvert	Couvert, bebidas, sobremesas e afins não podem ser cobrados se não tiverem sido solicitados	2014-05-28	Couvert, bebidas, sobremesas e outros produtos não podem ser servidos sem a solicitação expressa do consumidor. Se forem, não poderão ser cobrados.	Restaurantes, bares e afins	Multa mínima de 200 UFIR-RJ (Valor da UFIR-RJ: <a href="#" onclick="window.open('http://bit.ly/UFIR_RJ', '_blank');">http://bit.ly/UFIR_RJ</a>).	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>O Governador do Estado do Rio de Janeiro,</h3><br/><p>Faço saber que a Assembléia Legislativa do Estado do Rio de Janeiro decreta e eu sanciono a seguinte Lei:<br/><br/> <strong>Art. 1º -</strong> Os restaurantes, bares, lanchonetes e estabelecimentos congêneres ficam proibidos de servir qualquer produto que não tenha sido solicitado expressamente pelo consumidor. <br/>Parágrafo único Qualquer produto ofertado e entregue ao consumidor sem que este o tenha expressamente solicitado será considerado como cortesia ou amostra grátis, não podendo ser cobrado. <br/><br/><strong>Art. 2º -</strong> São exemplos de produtos abrangidos por esta Lei:<br/><br/><strong>I -</strong> couvert; <strong>II -</strong> refrigerantes;<strong>III -</strong> bebidas alcoólicas; <strong>IV -</strong> sobremesas; <br/><br/>Parágrafo único Os produtos descritos acima são meramente exemplificativos, não excluindo outros disponibilizados pelos estabelecimentos elencados no art. 1º. <br/><br/><strong>Art. 3º -</strong> O descumprimento desta lei sujeitará os infratores às sanções dispostas na Lei nº 8.078, de 11 de setembro de 1990, sem prejuízo de outras dispostas na legislação em vigor. <br/><br/><strong>Art. 4º -</strong> Esta lei entra em vigor na data de sua publicação.<br/><br/> Rio de Janeiro, 28 de maio de 2014. <strong>Luiz Fernando de Souza</strong> Governador </p><div class="separator"></div><p><b>Projeto de Lei nº</b> 1930/2013 </b><br/> Mensagem nº ---<br/> Autoria: GRAÇA PEREIRA<br/> Data de publicação: 29-05-2014<br/> Data Publ. partes vetadas ---<br/> Assunto: --- <br/> Tipo de Revogação: EM VIGOR<br/> Texto da Revogação --- <br/> </p>			
rever html	http://alerjln1.alerj.rj.gov.br/CONTLEI.NSF/e9589b9aabd9cac8032564fe0065abb4/a9c3ed42e4a28b4183257bc90062bdb4?OpenDocument	LAZER / COMPRAS	6501	2013	Cobrança por venda no cartão	Cobranças e taxas para vendas no cartão são proibidas	2013-08-12	Assegura ao consumidor o direito de pagar o mesmo valor cobrado à vista para transações com cartão de crédito ou débito	Estabelecimentos comerciais em geral	Multa aplicada de acordo com o Código de Defesa do Consumidor	<h4>PRECISA DE MAIS INFORMAÇÕES?</h4><p>Entre em contato com o Alô Alerj ou PROCON.<br /> - Procon-RJ: ligue 151 (horário comercial) ou <a href="#" class="lei-link" onclick="window.open('http://www.procon.rj.gov.br', '_blank');">acesse o site (24h)</a><br /> - Alô Alerj: 0800-0220008 (horário comercial) / WhatsApp : (21) 98890-4742</p>	<h3>A Assembléia Legislativa do Rio de Janeiro</h3><p>DECRETA: <br/><br/> <strong>Art. 1º</strong> - Fica assegurado ao consumidor o direito de pagar o mesmo preço cobrado pelo estabelecimento comercial para venda à vista ou em espécie para transações concretizadas por meio de cartão de crédito e/ou débito, bem como por meio de cheque à vista, ficando vedado ao estabelecimento comercial, diante de sua adesão ou aceitação, qualquer distinção pecuniária entre tais modalidades de pagamento. <br><br> <strong>Art. 2º</strong> - O descumprimento do disposto nesta Lei sujeitará os infratores às penalidades previstas na Lei nº 8.078, de 11 de setembro de 1990.<br><br> <strong>Art. 3º</strong> - Esta Lei entra em vigor na data de sua publicação.<br><br> </p>			
